Building 60 4-fault (1 ctx + 3 profile) travelplanner_real SYNTHETIC examples (bench_seed=42, scan_limit=8000)...
Built 60 examples. seeds=[0, 1, 2], model=mistral-nemo-12b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 travel_real_03141 seed=2 arm=react: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5610,1451)
  N=4 travel_real_03141 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(22566,1601)
  N=4 travel_real_03141 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2777,745)
  N=4 travel_real_03141 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6630,1374)
  N=4 travel_real_03218 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2710,830)
  N=4 travel_real_03218 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6429,2047)
  N=4 travel_real_03218 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5420,1881)
  N=4 travel_real_03218 seed=0 arm=react: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5476,1758)
  N=4 travel_real_03218 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(19746,1576)
  N=4 travel_real_03218 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(10155,2154)
  N=4 travel_real_03218 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6581,1498)
  N=4 travel_real_03218 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2710,830)
  N=4 travel_real_03218 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6429,2047)
  N=4 travel_real_03218 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5420,1606)
  N=4 travel_real_03218 seed=1 arm=react: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5476,1758)
  N=4 travel_real_03218 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(22078,2412)
  N=4 travel_real_03218 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(10155,2154)
  N=4 travel_real_03218 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6581,1498)
  N=4 travel_real_03218 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2710,700)
  N=4 travel_real_03218 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6299,1908)
  N=4 travel_real_03218 seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5420,1597)
  N=4 travel_real_03218 seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5476,2078)
  N=4 travel_real_03218 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(19064,1386)
  N=4 travel_real_03218 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(18257,2840)
  N=4 travel_real_03218 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6451,1737)
  N=4 travel_real_03299 seed=0 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2624,914)
  N=4 travel_real_03299 seed=0 arm=self_refine: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(6467,3015)
  N=4 travel_real_03299 seed=0 arm=full_regen: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5248,1793)
  N=4 travel_real_03299 seed=0 arm=react: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5304,1953)
  N=4 travel_real_03299 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(17995,1093)
  N=4 travel_real_03299 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(19463,3674)
  N=4 travel_real_03299 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6619,1788)
  N=4 travel_real_03299 seed=1 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2624,914)
  N=4 travel_real_03299 seed=1 arm=self_refine: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(6467,3015)
  N=4 travel_real_03299 seed=1 arm=full_regen: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5248,1406)
  N=4 travel_real_03299 seed=1 arm=react: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5304,1953)
  N=4 travel_real_03299 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(18378,1498)
  N=4 travel_real_03299 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(19463,3674)
  N=4 travel_real_03299 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6619,1788)
  N=4 travel_real_03299 seed=2 arm=direct: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2624,740)
  N=4 travel_real_03299 seed=2 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6125,1818)
  N=4 travel_real_03299 seed=2 arm=full_regen: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5248,1618)
  N=4 travel_real_03299 seed=2 arm=react: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5304,2614)
  N=4 travel_real_03299 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15884,1228)
  N=4 travel_real_03299 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(17704,2723)
  N=4 travel_real_03299 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6277,1239)
  N=4 travel_real_03379 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2660,1298)
  N=4 travel_real_03379 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6923,3127)
  N=4 travel_real_03379 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5320,2098)
  N=4 travel_real_03379 seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/4 tokens=(5376,2285)
  N=4 travel_real_03379 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(21850,2164)
  N=4 travel_real_03379 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2660,1298)
[RETRY] selfcheckgpt task=travel_real_03393 seed=0 attempt 1/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "Based on your preferences and constraints, here's a 7-day travel plan from Augusta to Texas, focusing on three cities: Abilene, Austin, and Houston, with a total cost of $4,100.

Day 1:
- Accommodation: Holiday Inn Express Abilene West ($150 per night)
- Dinner: Perini Ranch Steakhouse ($60)
- Attraction: The Grace Museum (Free)
Total: $210

Day 2:
- Breakfast: McDonald's Gluten-Free ($8)
- Accommodation: Suburban Extended Stay Abilene ($100)
- Lunch: La Hacienda Mexican Res); retrying in 3s
[RETRY] selfcheckgpt task=travel_real_03393 seed=0 attempt 2/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "Based on your preferences and constraints, here's a 7-day travel plan from Augusta to Texas, focusing on three cities: Abilene, Austin, and Houston, with a total cost of $4,100.

Day 1:
- Accommodation: Holiday Inn Express Abilene West ($150 per night)
- Dinner: Perini Ranch Steakhouse ($60)
- Attraction: The Grace Museum (Free)
Total: $210

Day 2:
- Breakfast: McDonald's Gluten-Free ($8)
- Accommodation: Suburban Extended Stay Abilene ($100)
- Lunch: La Hacienda Mexican Res); retrying in 6s
[RETRY] selfcheckgpt task=travel_real_03393 seed=0 attempt 3/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "Based on your preferences and constraints, here's a 7-day travel plan from Augusta to Texas, focusing on three cities: Abilene, Austin, and Houston, with a total cost of $4,100.

Day 1:
- Accommodation: Holiday Inn Express Abilene West ($150 per night)
- Dinner: Perini Ranch Steakhouse ($60)
- Attraction: The Grace Museum (Free)
Total: $210

Day 2:
- Breakfast: McDonald's Gluten-Free ($8)
- Accommodation: Suburban Extended Stay Abilene ($100)
- Lunch: La Hacienda Mexican Res); retrying in 12s
[RETRY] selfcheckgpt task=travel_real_03393 seed=0 attempt 4/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "Based on your preferences and constraints, here's a 7-day travel plan from Augusta to Texas, focusing on three cities: Abilene, Austin, and Houston, with a total cost of $4,100.

Day 1:
- Accommodation: Holiday Inn Express Abilene West ($150 per night)
- Dinner: Perini Ranch Steakhouse ($60)
- Attraction: The Grace Museum (Free)
Total: $210

Day 2:
- Breakfast: McDonald's Gluten-Free ($8)
- Accommodation: Suburban Extended Stay Abilene ($100)
- Lunch: La Hacienda Mexican Res); retrying in 24s
[ERROR] selfcheckgpt failed task=travel_real_03393 seed=0: failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "Based on your preferences and constraints, here's a 7-day travel plan from Augusta to Texas, focusing on three cities: Abilene, Austin, and Houston, with a total cost of $4,100.

Day 1:
- Accommodation: Holiday Inn Express Abilene West ($150 per night)
- Dinner: Perini Ranch Steakhouse ($60)
- Attraction: The Grace Museum (Free)
Total: $210

Day 2:
- Breakfast: McDonald's Gluten-Free ($8)
- Accommodation: Suburban Extended Stay Abilene ($100)
- Lunch: La Hacienda Mexican Res
[RETRY] selfcheckgpt task=travel_real_03393 seed=1 attempt 1/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "User's 7-day travel plan from Augusta to Texas, with a budget of $4,100, is as follows:\n\nDay 1 - Travel to Abilene\n- Accommodation: Historic Wootton Hotel ($70)\n- Meal: Texas Star Dinner Theater ($30 for dinner show)\n- Attraction: The Grace Museum (free)\n- Total cost: $100\n\nDay 2 - Abilene\n- Accommodation: same as Day 1 ($70)\n- Meal: Perini Ranch Steakhouse ($20 lunch, $20 dinner)\n- Attraction: Frontier Texas! ($10)\n- Total cost: $120\n\nDay 3 - Abilene\n- Accomm); retrying in 3s
[RETRY] selfcheckgpt task=travel_real_03393 seed=1 attempt 2/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "User's 7-day travel plan from Augusta to Texas, with a budget of $4,100, is as follows:\n\nDay 1 - Travel to Abilene\n- Accommodation: Historic Wootton Hotel ($70)\n- Meal: Texas Star Dinner Theater ($30 for dinner show)\n- Attraction: The Grace Museum (free)\n- Total cost: $100\n\nDay 2 - Abilene\n- Accommodation: same as Day 1 ($70)\n- Meal: Perini Ranch Steakhouse ($20 lunch, $20 dinner)\n- Attraction: Frontier Texas! ($10)\n- Total cost: $120\n\nDay 3 - Abilene\n- Accomm); retrying in 6s
[RETRY] selfcheckgpt task=travel_real_03393 seed=1 attempt 3/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "User's 7-day travel plan from Augusta to Texas, with a budget of $4,100, is as follows:\n\nDay 1 - Travel to Abilene\n- Accommodation: Historic Wootton Hotel ($70)\n- Meal: Texas Star Dinner Theater ($30 for dinner show)\n- Attraction: The Grace Museum (free)\n- Total cost: $100\n\nDay 2 - Abilene\n- Accommodation: same as Day 1 ($70)\n- Meal: Perini Ranch Steakhouse ($20 lunch, $20 dinner)\n- Attraction: Frontier Texas! ($10)\n- Total cost: $120\n\nDay 3 - Abilene\n- Accomm); retrying in 12s
[RETRY] selfcheckgpt task=travel_real_03393 seed=1 attempt 4/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "User's 7-day travel plan from Augusta to Texas, with a budget of $4,100, is as follows:\n\nDay 1 - Travel to Abilene\n- Accommodation: Historic Wootton Hotel ($70)\n- Meal: Texas Star Dinner Theater ($30 for dinner show)\n- Attraction: The Grace Museum (free)\n- Total cost: $100\n\nDay 2 - Abilene\n- Accommodation: same as Day 1 ($70)\n- Meal: Perini Ranch Steakhouse ($20 lunch, $20 dinner)\n- Attraction: Frontier Texas! ($10)\n- Total cost: $120\n\nDay 3 - Abilene\n- Accomm); retrying in 24s
[ERROR] selfcheckgpt failed task=travel_real_03393 seed=1: failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "User's 7-day travel plan from Augusta to Texas, with a budget of $4,100, is as follows:\n\nDay 1 - Travel to Abilene\n- Accommodation: Historic Wootton Hotel ($70)\n- Meal: Texas Star Dinner Theater ($30 for dinner show)\n- Attraction: The Grace Museum (free)\n- Total cost: $100\n\nDay 2 - Abilene\n- Accommodation: same as Day 1 ($70)\n- Meal: Perini Ranch Steakhouse ($20 lunch, $20 dinner)\n- Attraction: Frontier Texas! ($10)\n- Total cost: $120\n\nDay 3 - Abilene\n- Accomm
[RETRY] selfcheckgpt task=travel_real_03393 seed=2 attempt 1/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "
          Day 1: Augusta to Dallas
          - Accommodation: The Adolphus, costing $150 (15% of $4100/day cap)
          - Meals:
            - Gluten-free lunch at Sinful Dinners cafe: $15
            - Gluten-free dinner at paradigm Dallas food & lounge: $40
          - Attraction: The Dallas Museum of Art, free admission
          - Total cost: $205

          Day 2: Exploring Dallas
          - Accommodation: Same as Day 1, costing $150
          - Meals:
            -); retrying in 3s
[RETRY] selfcheckgpt task=travel_real_03393 seed=2 attempt 2/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "
          Day 1: Augusta to Dallas
          - Accommodation: The Adolphus, costing $150 (15% of $4100/day cap)
          - Meals:
            - Gluten-free lunch at Sinful Dinners cafe: $15
            - Gluten-free dinner at paradigm Dallas food & lounge: $40
          - Attraction: The Dallas Museum of Art, free admission
          - Total cost: $205

          Day 2: Exploring Dallas
          - Accommodation: Same as Day 1, costing $150
          - Meals:
            -); retrying in 6s
[RETRY] selfcheckgpt task=travel_real_03393 seed=2 attempt 3/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "
          Day 1: Augusta to Dallas
          - Accommodation: The Adolphus, costing $150 (15% of $4100/day cap)
          - Meals:
            - Gluten-free lunch at Sinful Dinners cafe: $15
            - Gluten-free dinner at paradigm Dallas food & lounge: $40
          - Attraction: The Dallas Museum of Art, free admission
          - Total cost: $205

          Day 2: Exploring Dallas
          - Accommodation: Same as Day 1, costing $150
          - Meals:
            -); retrying in 12s
[RETRY] selfcheckgpt task=travel_real_03393 seed=2 attempt 4/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "
          Day 1: Augusta to Dallas
          - Accommodation: The Adolphus, costing $150 (15% of $4100/day cap)
          - Meals:
            - Gluten-free lunch at Sinful Dinners cafe: $15
            - Gluten-free dinner at paradigm Dallas food & lounge: $40
          - Attraction: The Dallas Museum of Art, free admission
          - Total cost: $205

          Day 2: Exploring Dallas
          - Accommodation: Same as Day 1, costing $150
          - Meals:
            -); retrying in 24s
[ERROR] selfcheckgpt failed task=travel_real_03393 seed=2: failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{
  "final_output": "
          Day 1: Augusta to Dallas
          - Accommodation: The Adolphus, costing $150 (15% of $4100/day cap)
          - Meals:
            - Gluten-free lunch at Sinful Dinners cafe: $15
            - Gluten-free dinner at paradigm Dallas food & lounge: $40
          - Attraction: The Dallas Museum of Art, free admission
          - Total cost: $205

          Day 2: Exploring Dallas
          - Accommodation: Same as Day 1, costing $150
          - Meals:
            -
  N=4 travel_real_03379 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(7075,2211)
  N=4 travel_real_03379 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2660,1298)
  N=4 travel_real_03379 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6923,3127)
  N=4 travel_real_03379 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5320,2091)
  N=4 travel_real_03379 seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/4 tokens=(5376,2285)
  N=4 travel_real_03379 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(19601,1892)
  N=4 travel_real_03379 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2660,1298)
  N=4 travel_real_03379 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(7075,2211)
  N=4 travel_real_03379 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2660,723)
  N=4 travel_real_03379 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6243,1899)
  N=4 travel_real_03379 seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/4 tokens=(5320,1437)
  N=4 travel_real_03379 seed=2 arm=react: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'english': True} all_resolved=False n_resolved=2/4 tokens=(5376,1508)
  N=4 travel_real_03379 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(16319,1551)
  N=4 travel_real_03379 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2660,723)
  N=4 travel_real_03379 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6395,1194)
  N=4 travel_real_03393 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2704,1013)
  N=4 travel_real_03393 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(6642,2562)
  N=4 travel_real_03393 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5408,2088)
  N=4 travel_real_03393 seed=0 arm=react: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5464,2503)
  N=4 travel_real_03393 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(20155,4176)
  N=4 travel_real_03393 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6794,4071)
  N=4 travel_real_03393 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2704,1013)
  N=4 travel_real_03393 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(6642,2562)
  N=4 travel_real_03393 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5408,1758)
  N=4 travel_real_03393 seed=1 arm=react: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5464,2503)
  N=4 travel_real_03393 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(20155,4176)
  N=4 travel_real_03393 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6794,4071)
  N=4 travel_real_03393 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2704,859)
  N=4 travel_real_03393 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(6376,1949)
  N=4 travel_real_03393 seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5408,1760)
  N=4 travel_real_03393 seed=2 arm=react: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5464,2417)
  N=4 travel_real_03393 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2704,859)
  N=4 travel_real_03393 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(6528,1302)
  N=4 travel_real_03464 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2907,1312)
  N=4 travel_real_03464 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7200,2765)
  N=4 travel_real_03464 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5814,2108)
  N=4 travel_real_03464 seed=0 arm=react: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5870,2312)
  N=4 travel_real_03464 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(21026,1713)
  N=4 travel_real_03464 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2907,1312)
  N=4 travel_real_03464 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(7352,1840)
  N=4 travel_real_03464 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2907,1312)
  N=4 travel_real_03464 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(7200,2765)
  N=4 travel_real_03464 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5814,2044)
  N=4 travel_real_03464 seed=1 arm=react: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(5870,2312)
  N=4 travel_real_03464 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(21666,2361)
  N=4 travel_real_03464 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2907,1312)
  N=4 travel_real_03464 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': False, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(7352,1840)
  N=4 travel_real_03464 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2907,457)
  N=4 travel_real_03464 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6492,2105)
  N=4 travel_real_03464 seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5814,1294)
  N=4 travel_real_03464 seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5870,1144)
