[RETRY] prime task=real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=2 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
Building 40 N=5 hop-fault twowiki_real bridge_comparison examples (bench_seed=42, IDENTICAL to rebuttal_experiment_d_real_hop.py's set)...
Built 40 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt']
  N=5 arm=direct real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1941,419)
  N=5 arm=direct real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(1969,319)
  N=5 arm=direct real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(1969,319)
  N=5 arm=direct real_2wiki_hop_00043_c9eb430908c311ebbd8dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(1969,311)
  N=5 arm=direct real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1991,552)
  N=5 arm=direct real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1991,552)
  N=5 arm=direct real_2wiki_hop_00044_a5f0b646088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1990,302)
  N=5 arm=direct real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1895,395)
  N=5 arm=direct real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1895,395)
  N=5 arm=direct real_2wiki_hop_00046_18d4a1f8085611ebbd59ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1895,398)
  N=5 arm=direct real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1917,478)
  N=5 arm=direct real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1917,478)
  N=5 arm=direct real_2wiki_hop_00049_e95acdbc085f11ebbd5dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1916,249)
--- [direct] N=5: rows written=120 errors=0 tokens_in=223866 tokens_out=48289 ---
  N=5 arm=self_refine real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4405,1236)
  N=5 arm=self_refine real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4405,1236)
  N=5 arm=self_refine real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4442,1099)
  N=5 arm=self_refine real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(4203,919)
  N=5 arm=self_refine real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(4203,919)
  N=5 arm=self_refine real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3949,570)
  N=5 arm=self_refine real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3710,980)
  N=5 arm=self_refine real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3710,980)
  N=5 arm=self_refine real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(3440,518)
  N=5 arm=self_refine real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4265,1379)
  N=5 arm=self_refine real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4265,1379)
  N=5 arm=self_refine real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4296,1330)
  N=5 arm=self_refine real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3922,808)
  N=5 arm=self_refine real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3922,808)
  N=5 arm=self_refine real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(3930,925)
  N=5 arm=self_refine real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=0: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=1/5 tokens=(3924,918)
  N=5 arm=self_refine real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=1: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=1/5 tokens=(3924,918)
  N=5 arm=self_refine real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=2: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=1/5 tokens=(3955,957)
  N=5 arm=self_refine real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4403,475)
  N=5 arm=self_refine real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4403,475)
  N=5 arm=self_refine real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4553,883)
  N=5 arm=self_refine real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4705,829)
  N=5 arm=self_refine real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4705,829)
  N=5 arm=self_refine real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(4691,738)
  N=5 arm=self_refine real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(3919,793)
  N=5 arm=self_refine real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(3919,793)
  N=5 arm=self_refine real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(3962,829)
  N=5 arm=self_refine real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4381,1110)
  N=5 arm=self_refine real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4381,1110)
  N=5 arm=self_refine real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4133,852)
  N=5 arm=self_refine real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3895,721)
  N=5 arm=self_refine real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3895,721)
  N=5 arm=self_refine real_2wiki_hop_00011_5b6b8c02089711ebbd77ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3882,869)
  N=5 arm=self_refine real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(3848,1441)
  N=5 arm=self_refine real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(3848,1441)
  N=5 arm=self_refine real_2wiki_hop_00012_f7c4fdf2087611ebbd67ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(3574,1041)
  N=5 arm=self_refine real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=0: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=1/5 tokens=(4456,978)
  N=5 arm=self_refine real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=1: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=1/5 tokens=(4456,978)
  N=5 arm=self_refine real_2wiki_hop_00013_9e6d7bdc08a111ebbd79ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': False} all_resolved=False n_resolved=2/5 tokens=(4546,877)
  N=5 arm=self_refine real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3861,927)
  N=5 arm=self_refine real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3861,927)
  N=5 arm=self_refine real_2wiki_hop_00014_d71f453b085811ebbd5bac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4274,1730)
  N=5 arm=self_refine real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4076,1075)
  N=5 arm=self_refine real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4076,1075)
  N=5 arm=self_refine real_2wiki_hop_00015_7de9188c088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4534,1730)
  N=5 arm=self_refine real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4975,638)
  N=5 arm=self_refine real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4975,638)
  N=5 arm=self_refine real_2wiki_hop_00017_f1ff478c089011ebbd72ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4812,546)
  N=5 arm=self_refine real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3803,687)
  N=5 arm=self_refine real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(3803,687)
  N=5 arm=self_refine real_2wiki_hop_00019_53ab316c08b911ebbd88ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(3791,830)
  N=5 arm=self_refine real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4441,678)
  N=5 arm=self_refine real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4441,678)
  N=5 arm=self_refine real_2wiki_hop_00020_363279db08d011ebbd95ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4441,694)
  N=5 arm=self_refine real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4453,798)
  N=5 arm=self_refine real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4453,798)
  N=5 arm=self_refine real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4423,767)
  N=5 arm=self_refine real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4442,1091)
  N=5 arm=self_refine real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4442,1091)
  N=5 arm=self_refine real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': False} all_resolved=False n_resolved=4/5 tokens=(4448,1279)
  N=5 arm=self_refine real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3764,915)
  N=5 arm=self_refine real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3764,915)
  N=5 arm=self_refine real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3722,780)
[RETRY] self_refine task=real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=2 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
  N=5 arm=self_refine real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4429,1418)
  N=5 arm=self_refine real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4429,1418)
  N=5 arm=self_refine real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4225,1154)
  N=5 arm=self_refine real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4161,894)
  N=5 arm=self_refine real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4161,894)
  N=5 arm=self_refine real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4104,862)
  N=5 arm=self_refine real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4379,1404)
  N=5 arm=self_refine real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4379,1404)
  N=5 arm=self_refine real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4115,841)
  N=5 arm=self_refine real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3786,835)
  N=5 arm=self_refine real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3786,835)
  N=5 arm=self_refine real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3628,773)
  N=5 arm=self_refine real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3826,963)
  N=5 arm=self_refine real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3826,963)
  N=5 arm=self_refine real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(3879,1073)
  N=5 arm=self_refine real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4181,1339)
  N=5 arm=self_refine real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4181,1339)
  N=5 arm=self_refine real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=2: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=1/5 tokens=(4116,1217)
  N=5 arm=self_refine real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4301,894)
  N=5 arm=self_refine real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4301,894)
  N=5 arm=self_refine real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4720,1664)
  N=5 arm=self_refine real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(4779,1196)
  N=5 arm=self_refine real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(4779,1196)
  N=5 arm=self_refine real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4753,815)
  N=5 arm=self_refine real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(4230,1190)
  N=5 arm=self_refine real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(4230,1190)
  N=5 arm=self_refine real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(4328,1012)
  N=5 arm=self_refine real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=0: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4672,956)
  N=5 arm=self_refine real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=1: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4672,956)
  N=5 arm=self_refine real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=2: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=False n_resolved=4/5 tokens=(4726,928)
  N=5 arm=self_refine real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': False} all_resolved=False n_resolved=4/5 tokens=(4670,1479)
  N=5 arm=self_refine real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': False} all_resolved=False n_resolved=4/5 tokens=(4670,1479)
