Building 60 4-fault-injected twowiki_real examples (bench_seed=42, IDENTICAL to rebuttal_experiment_d_real.py's set)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt']
  N=4 arm=direct real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2442,360)
  N=4 arm=self_refine real_2wiki_01665_33323be20bde11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5679,671)
  N=4 arm=self_refine real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5862,1783)
  N=4 arm=self_refine real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5862,1783)
  N=4 arm=self_refine real_2wiki_01677_d94d1d720bdd11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5343,934)
  N=4 arm=self_refine real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5394,1226)
  N=4 arm=self_refine real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5394,1226)
  N=4 arm=self_refine real_2wiki_01689_8980fef608ab11ebbd82ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5139,932)
  N=4 arm=self_refine real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5283,1366)
  N=4 arm=self_refine real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5283,1366)
  N=4 arm=self_refine real_2wiki_01752_cd73fa43092711ebbdaeac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5177,1265)
  N=4 arm=self_refine real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5821,1309)
  N=4 arm=self_refine real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5821,1309)
  N=4 arm=self_refine real_2wiki_01768_ab715764085011ebbd57ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5676,978)
  N=4 arm=self_refine real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5076,975)
  N=4 arm=self_refine real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5076,975)
  N=4 arm=self_refine real_2wiki_01776_61c0b6a40bda11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(4882,629)
[RETRY] self_refine task=real_2wiki_03061_82e3e9be0bda11eba7f7acde48001122 seed=0 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
  N=4 arm=self_refine real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5236,1499)
  N=4 arm=self_refine real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5236,1499)
  N=4 arm=self_refine real_2wiki_01791_0277d67a08c411ebbd8eac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4999,1059)
  N=4 arm=self_refine real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5467,1111)
  N=4 arm=self_refine real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5467,1111)
  N=4 arm=self_refine real_2wiki_02010_255fa5eb08af11ebbd83ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5484,1081)
  N=4 arm=self_refine real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6033,1273)
  N=4 arm=self_refine real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6033,1273)
  N=4 arm=self_refine real_2wiki_02153_a8f04a7f090211ebbdadac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5824,1241)
  N=4 arm=self_refine real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5334,1007)
  N=4 arm=self_refine real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5334,1007)
  N=4 arm=self_refine real_2wiki_02197_c21eebb40bdb11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5346,1029)
  N=4 arm=self_refine real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5481,1340)
  N=4 arm=self_refine real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5481,1340)
  N=4 arm=self_refine real_2wiki_02278_913ceb43088211ebbd6dac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5465,1039)
  N=4 arm=self_refine real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5071,921)
  N=4 arm=self_refine real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5071,921)
  N=4 arm=self_refine real_2wiki_02290_172fd661094811ebbdaeac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5093,598)
  N=4 arm=self_refine real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5449,1208)
  N=4 arm=self_refine real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5449,1208)
  N=4 arm=self_refine real_2wiki_02347_13c15658087311ebbd66ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5293,1094)
  N=4 arm=self_refine real_2wiki_02467_96beb0b3086111ebbd5dac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4845,871)
  N=4 arm=self_refine real_2wiki_02467_96beb0b3086111ebbd5dac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4845,871)
  N=4 arm=self_refine real_2wiki_02467_96beb0b3086111ebbd5dac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4902,1018)
  N=4 arm=self_refine real_2wiki_02526_62e8b66a0bdc11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': False, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5140,1065)
  N=4 arm=self_refine real_2wiki_02526_62e8b66a0bdc11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': False, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5140,1065)
  N=4 arm=self_refine real_2wiki_02526_62e8b66a0bdc11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4892,636)
  N=4 arm=self_refine real_2wiki_02671_6bb30c3d090b11ebbdadac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5163,1053)
  N=4 arm=self_refine real_2wiki_02671_6bb30c3d090b11ebbdadac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5163,1053)
  N=4 arm=self_refine real_2wiki_02671_6bb30c3d090b11ebbdadac1f6bf848b6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4973,805)
  N=4 arm=self_refine real_2wiki_02677_6dd659b40bb011ebab90acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6160,1425)
  N=4 arm=self_refine real_2wiki_02677_6dd659b40bb011ebab90acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6160,1425)
  N=4 arm=self_refine real_2wiki_02677_6dd659b40bb011ebab90acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6454,2179)
  N=4 arm=self_refine real_2wiki_02816_02e56f360bde11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5475,1301)
  N=4 arm=self_refine real_2wiki_02816_02e56f360bde11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5475,1301)
  N=4 arm=self_refine real_2wiki_02816_02e56f360bde11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5592,1719)
  N=4 arm=self_refine real_2wiki_02882_3a148dcc0baf11ebab90acde48001122 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5497,1169)
  N=4 arm=self_refine real_2wiki_02882_3a148dcc0baf11ebab90acde48001122 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5497,1169)
  N=4 arm=self_refine real_2wiki_02882_3a148dcc0baf11ebab90acde48001122 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5559,1277)
  N=4 arm=self_refine real_2wiki_03061_82e3e9be0bda11eba7f7acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4826,1029)
  N=4 arm=self_refine real_2wiki_03061_82e3e9be0bda11eba7f7acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4826,1029)
  N=4 arm=self_refine real_2wiki_03061_82e3e9be0bda11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4694,732)
  N=4 arm=self_refine real_2wiki_03099_917222f308c911ebbd92ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5475,1169)
  N=4 arm=self_refine real_2wiki_03099_917222f308c911ebbd92ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5475,1169)
  N=4 arm=self_refine real_2wiki_03099_917222f308c911ebbd92ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5539,1248)
  N=4 arm=self_refine real_2wiki_03208_faf6572008e411ebbda4ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4806,1183)
  N=4 arm=self_refine real_2wiki_03208_faf6572008e411ebbda4ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4806,1183)
  N=4 arm=self_refine real_2wiki_03208_faf6572008e411ebbda4ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4715,917)
  N=4 arm=self_refine real_2wiki_03228_233e8a6108e611ebbda4ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5235,857)
  N=4 arm=self_refine real_2wiki_03228_233e8a6108e611ebbda4ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5235,857)
  N=4 arm=self_refine real_2wiki_03228_233e8a6108e611ebbda4ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5250,944)
  N=4 arm=self_refine real_2wiki_03313_0aa92d8d08cf11ebbd94ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5651,1420)
  N=4 arm=self_refine real_2wiki_03313_0aa92d8d08cf11ebbd94ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5651,1420)
  N=4 arm=self_refine real_2wiki_03313_0aa92d8d08cf11ebbd94ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5811,1609)
  N=4 arm=self_refine real_2wiki_03335_d528343e0bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4880,542)
  N=4 arm=self_refine real_2wiki_03335_d528343e0bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4880,542)
  N=4 arm=self_refine real_2wiki_03335_d528343e0bdd11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5045,907)
  N=4 arm=self_refine real_2wiki_03661_8d4352a7089111ebbd73ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5837,1393)
  N=4 arm=self_refine real_2wiki_03661_8d4352a7089111ebbd73ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5837,1393)
  N=4 arm=self_refine real_2wiki_03661_8d4352a7089111ebbd73ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5956,1660)
  N=4 arm=self_refine real_2wiki_03966_48afc3280bb011ebab90acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5645,1339)
  N=4 arm=self_refine real_2wiki_03966_48afc3280bb011ebab90acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5645,1339)
  N=4 arm=self_refine real_2wiki_03966_48afc3280bb011ebab90acde48001122 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5848,1709)
  N=4 arm=self_refine real_2wiki_04113_acfbbcd508f311ebbdaaac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6013,1566)
  N=4 arm=self_refine real_2wiki_04113_acfbbcd508f311ebbdaaac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6013,1566)
  N=4 arm=self_refine real_2wiki_04113_acfbbcd508f311ebbdaaac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6126,1737)
  N=4 arm=self_refine real_2wiki_04134_b8df7ba80baf11ebab90acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5486,1030)
  N=4 arm=self_refine real_2wiki_04134_b8df7ba80baf11ebab90acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5486,1030)
  N=4 arm=self_refine real_2wiki_04134_b8df7ba80baf11ebab90acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5577,1097)
  N=4 arm=self_refine real_2wiki_04549_664ed504085e11ebbd5cac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5010,1220)
  N=4 arm=self_refine real_2wiki_04549_664ed504085e11ebbd5cac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5010,1220)
  N=4 arm=self_refine real_2wiki_04549_664ed504085e11ebbd5cac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5280,1359)
  N=4 arm=self_refine real_2wiki_04656_0f0ccb9e0bdc11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4457,982)
  N=4 arm=self_refine real_2wiki_04656_0f0ccb9e0bdc11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4457,982)
  N=4 arm=self_refine real_2wiki_04656_0f0ccb9e0bdc11eba7f7acde48001122 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4721,1363)
  N=4 arm=self_refine real_2wiki_04663_4a0422f00bb011ebab90acde48001122 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5688,1227)
  N=4 arm=self_refine real_2wiki_04663_4a0422f00bb011ebab90acde48001122 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5688,1227)
  N=4 arm=self_refine real_2wiki_04663_4a0422f00bb011ebab90acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5432,763)
[RETRY] self_refine task=real_2wiki_05145_58fe56b80bdd11eba7f7acde48001122 seed=2 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
  N=4 arm=self_refine real_2wiki_04905_f0d6f50c08eb11ebbda7ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5598,1102)
  N=4 arm=self_refine real_2wiki_04905_f0d6f50c08eb11ebbda7ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5598,1102)
  N=4 arm=self_refine real_2wiki_04905_f0d6f50c08eb11ebbda7ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5626,1212)
  N=4 arm=self_refine real_2wiki_05045_937ac6e2089b11ebbd78ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5220,1198)
  N=4 arm=self_refine real_2wiki_05045_937ac6e2089b11ebbd78ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5220,1198)
  N=4 arm=self_refine real_2wiki_05045_937ac6e2089b11ebbd78ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5047,866)
  N=4 arm=self_refine real_2wiki_05050_6ee0b385096d11ebbdafac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5146,967)
  N=4 arm=self_refine real_2wiki_05050_6ee0b385096d11ebbdafac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5146,967)
  N=4 arm=self_refine real_2wiki_05050_6ee0b385096d11ebbdafac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5617,1791)
  N=4 arm=self_refine real_2wiki_05145_58fe56b80bdd11eba7f7acde48001122 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5719,1257)
  N=4 arm=self_refine real_2wiki_05145_58fe56b80bdd11eba7f7acde48001122 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5719,1257)
  N=4 arm=self_refine real_2wiki_05145_58fe56b80bdd11eba7f7acde48001122 seed=2: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5616,1216)
  N=4 arm=self_refine real_2wiki_05284_63c8e88608d311ebbd96ac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5095,855)
  N=4 arm=self_refine real_2wiki_05284_63c8e88608d311ebbd96ac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5095,855)
  N=4 arm=self_refine real_2wiki_05284_63c8e88608d311ebbd96ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5139,1010)
  N=4 arm=self_refine real_2wiki_05323_87c2be8908ab11ebbd82ac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4821,1081)
  N=4 arm=self_refine real_2wiki_05323_87c2be8908ab11ebbd82ac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4821,1081)
  N=4 arm=self_refine real_2wiki_05323_87c2be8908ab11ebbd82ac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4828,1124)
  N=4 arm=self_refine real_2wiki_05370_850e2d1308f311ebbdaaac1f6bf848b6 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5474,1037)
  N=4 arm=self_refine real_2wiki_05370_850e2d1308f311ebbdaaac1f6bf848b6 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5474,1037)
  N=4 arm=self_refine real_2wiki_05370_850e2d1308f311ebbdaaac1f6bf848b6 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5414,1176)
  N=4 arm=self_refine real_2wiki_05374_f78d85300bae11ebab90acde48001122 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5573,838)
  N=4 arm=self_refine real_2wiki_05374_f78d85300bae11ebab90acde48001122 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5573,838)
  N=4 arm=self_refine real_2wiki_05374_f78d85300bae11ebab90acde48001122 seed=2: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5778,1400)
  N=4 arm=self_refine real_2wiki_05459_88e62716086f11ebbd62ac1f6bf848b6 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5570,811)
  N=4 arm=self_refine real_2wiki_05459_88e62716086f11ebbd62ac1f6bf848b6 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5570,811)
  N=4 arm=self_refine real_2wiki_05459_88e62716086f11ebbd62ac1f6bf848b6 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5552,749)
