Building 60 4-fault-injected hotpotqa_real examples (bench_seed=42, scan_limit=40000)...
Built 60 examples. seeds=[0, 1, 2], model=llama-3.3-70b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2303,343)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5035,567)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4744,494)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4797,605)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13722,226)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12872,362)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5189,571)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2372,177)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5035,564)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4744,352)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4797,597)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13722,224)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(12880,373)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5189,571)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2371,388)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5271,957)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4742,681)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4795,904)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13716,574)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(8200,505)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5425,974)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2371,355)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5238,1020)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4742,597)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4795,861)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(13865,479)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2371,355)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5392,798)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2371,272)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5127,768)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4742,630)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4795,771)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13716,426)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13141,434)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5281,593)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2431,350)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5300,803)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4862,687)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4915,820)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14282,473)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2431,350)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5454,784)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2431,308)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5286,921)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4862,641)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4915,847)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14218,399)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2431,308)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5440,768)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2431,308)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5286,922)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4862,590)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4915,778)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14236,423)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2431,308)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5440,756)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2372,297)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5215,970)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4744,411)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4797,800)
[RETRY] selfcheckgpt task=real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 attempt 1/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{"final_output': "); retrying in 3s
[RETRY] selfcheckgpt task=real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 attempt 2/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{"final_output': "); retrying in 6s
[RETRY] selfcheckgpt task=real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 attempt 3/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{"final_output': "); retrying in 12s
[RETRY] selfcheckgpt task=real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 attempt 4/5 failed (failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{"final_output': "); retrying in 24s
[ERROR] selfcheckgpt failed task=real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2: failed to obtain JSON after 3 attempts: could not parse JSON from model output:
{"final_output': "
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13722,452)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13406,465)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=intro_specter: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5369,742)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2372,177)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5039,584)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4744,361)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4797,605)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(13877,323)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2372,177)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5193,745)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2372,177)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=self_refine: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5039,582)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4744,445)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4797,648)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2372,177)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5193,745)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2480,233)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5279,770)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4960,614)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5013,746)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14370,408)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2480,233)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5433,647)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2480,375)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5477,711)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4960,849)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5013,894)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14370,507)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2480,375)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5631,723)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2480,231)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5277,696)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4960,652)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5013,863)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14370,396)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2480,231)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5431,618)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2418,154)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5078,509)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4836,492)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4889,575)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13998,297)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12935,307)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5232,449)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2418,154)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5078,481)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4836,400)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4889,579)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13998,203)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12951,320)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5232,449)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2418,154)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5078,488)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4836,287)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4889,588)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13998,203)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12969,324)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=2 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5232,449)
  N=4 real_hotpotqa_01894_5a796c805542990784727805 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2463,133)
  N=4 real_hotpotqa_01894_5a796c805542990784727805 seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5173,470)
  N=4 real_hotpotqa_01894_5a796c805542990784727805 seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4926,219)
  N=4 real_hotpotqa_01894_5a796c805542990784727805 seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4979,585)
  N=4 real_hotpotqa_01894_5a796c805542990784727805 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14268,351)
  N=4 real_hotpotqa_01894_5a796c805542990784727805 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13303,396)
  N=4 real_hotpotqa_01894_5a796c805542990784727805 seed=0 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5327,342)
  N=4 real_hotpotqa_01894_5a796c805542990784727805 seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2463,238)
