Building 60 4-fault-injected hotpotqa_real examples (bench_seed=42, scan_limit=40000)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2344,287)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4830,295)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4883,603)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(13980,221)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2415,151)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5207,453)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2415,249)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5150,640)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4830,522)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4883,740)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(16447,354)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2415,249)
  N=4 real_hotpotqa_01234_5a848a725542990548d0b2c7 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5304,662)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2413,200)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5119,593)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4826,579)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4879,600)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(16609,494)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2413,200)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5273,594)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2413,200)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5119,593)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4826,500)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4879,600)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(16587,459)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2413,200)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5273,594)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2413,614)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5589,1322)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4826,980)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4879,962)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(16798,933)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'english': True} all_resolved=False n_resolved=2/4 tokens=(16119,2510)
  N=4 real_hotpotqa_01490_5ab930c75542996be202043a seed=2 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5743,1505)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2414,134)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5003,374)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4828,332)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4881,500)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(14189,312)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2414,134)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5157,516)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2414,134)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5003,374)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4828,277)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4881,500)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(14181,311)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2414,134)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5157,516)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2414,162)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5031,410)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4828,360)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4881,583)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(14186,334)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2414,162)
  N=4 real_hotpotqa_01541_5ac258cc554299636651998e seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5185,378)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2458,248)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5263,649)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4916,476)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4969,845)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14451,447)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2458,248)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5417,663)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2458,248)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5263,649)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4916,600)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4969,845)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14400,369)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2458,248)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5417,663)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2458,263)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5277,728)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4916,500)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4969,842)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14442,421)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2458,263)
  N=4 real_hotpotqa_01601_5ab9c7c355429939ce03dc17 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5431,676)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2432,306)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5240,542)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4864,565)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4917,835)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14306,508)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(8096,783)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=0 arm=intro_specter: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5394,778)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2432,306)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5240,542)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=full_regen: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4864,664)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4917,835)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16714,556)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(8096,783)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=1 arm=intro_specter: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5394,778)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2432,186)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5121,535)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4864,412)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4917,642)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14263,344)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2432,186)
  N=4 real_hotpotqa_01658_5a7ca95b55429935c91b5287 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5275,516)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2607,188)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5453,507)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5214,420)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5267,736)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(15132,258)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2607,188)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5607,501)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2607,188)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5453,507)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5214,363)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5267,736)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(15132,258)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2607,188)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5607,501)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2607,188)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5453,508)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5214,304)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5267,722)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(15132,258)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2607,188)
  N=4 real_hotpotqa_01690_5abac27855429966062415ff seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5607,501)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2451,144)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5075,375)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4902,285)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4955,602)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14196,253)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13191,620)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=0 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5229,351)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2451,144)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5075,375)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4902,298)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=react: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4955,602)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14196,232)
  N=4 real_hotpotqa_01815_5a8b349a55429971feec466b seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13191,620)
