Resuming arm=direct: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=self_refine: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=full_regen: 61 (task_id, seed) rows already present, will be skipped.
Resuming arm=react: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=selfcheckgpt: 61 (task_id, seed) rows already present, will be skipped.
Resuming arm=reflexion: 60 (task_id, seed) rows already present, will be skipped.
Resuming arm=intro_specter: 60 (task_id, seed) rows already present, will be skipped.
Building 60 recipes native-multi-fault (N=5) examples (bench_seed=42)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=5 recipes_nonsynth_mf5_000021 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(8888,2354)
  N=5 recipes_nonsynth_mf5_000030 seed=2 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1884,1757)
  N=5 recipes_nonsynth_mf5_000030 seed=2 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1937,2113)
  N=5 recipes_nonsynth_mf5_000030 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(12467,2554)
  N=5 recipes_nonsynth_mf5_000030 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(10731,3385)
  N=5 recipes_nonsynth_mf5_000030 seed=2 arm=intro_specter: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(3162,2320)
  N=5 recipes_nonsynth_mf5_000031 seed=0 arm=direct: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(929,625)
  N=5 recipes_nonsynth_mf5_000031 seed=0 arm=self_refine: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(2621,1551)
  N=5 recipes_nonsynth_mf5_000031 seed=0 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1858,1147)
  N=5 recipes_nonsynth_mf5_000031 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1911,1743)
  N=5 recipes_nonsynth_mf5_000031 seed=0 arm=selfcheckgpt: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(12180,2141)
  N=5 recipes_nonsynth_mf5_000031 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(8968,2433)
  N=5 recipes_nonsynth_mf5_000031 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2775,1401)
  N=5 recipes_nonsynth_mf5_000031 seed=1 arm=direct: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(929,625)
  N=5 recipes_nonsynth_mf5_000031 seed=1 arm=self_refine: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(2621,1551)
  N=5 recipes_nonsynth_mf5_000031 seed=1 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1858,1384)
  N=5 recipes_nonsynth_mf5_000031 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1911,1743)
  N=5 recipes_nonsynth_mf5_000031 seed=1 arm=selfcheckgpt: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(11778,2082)
  N=5 recipes_nonsynth_mf5_000031 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(8968,2433)
  N=5 recipes_nonsynth_mf5_000031 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2775,1401)
  N=5 recipes_nonsynth_mf5_000031 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(929,665)
  N=5 recipes_nonsynth_mf5_000031 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2660,1566)
  N=5 recipes_nonsynth_mf5_000031 seed=2 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(1858,1323)
  N=5 recipes_nonsynth_mf5_000031 seed=2 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1911,1843)
  N=5 recipes_nonsynth_mf5_000031 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(11926,2117)
  N=5 recipes_nonsynth_mf5_000031 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(9078,2484)
  N=5 recipes_nonsynth_mf5_000031 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2814,1248)
  N=5 recipes_nonsynth_mf5_000032 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(934,993)
  N=5 recipes_nonsynth_mf5_000032 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': False, 'servings': True, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(3110,2388)
  N=5 recipes_nonsynth_mf5_000032 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(1868,1481)
  N=5 recipes_nonsynth_mf5_000032 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1956,1871)
  N=5 recipes_nonsynth_mf5_000032 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(12516,2544)
  N=5 recipes_nonsynth_mf5_000032 seed=0 arm=reflexion: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(11119,3675)
  N=5 recipes_nonsynth_mf5_000032 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=True n_resolved=5/5 tokens=(3264,2007)
  N=5 recipes_nonsynth_mf5_000032 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(934,993)
  N=5 recipes_nonsynth_mf5_000032 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': False, 'servings': True, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(3110,2388)
  N=5 recipes_nonsynth_mf5_000032 seed=1 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1868,1680)
  N=5 recipes_nonsynth_mf5_000032 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1956,1871)
  N=5 recipes_nonsynth_mf5_000032 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(12608,2462)
  N=5 recipes_nonsynth_mf5_000032 seed=1 arm=reflexion: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(11119,3675)
  N=5 recipes_nonsynth_mf5_000032 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=True n_resolved=5/5 tokens=(3264,2007)
  N=5 recipes_nonsynth_mf5_000032 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(934,968)
  N=5 recipes_nonsynth_mf5_000032 seed=2 arm=self_refine: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(3169,2397)
  N=5 recipes_nonsynth_mf5_000032 seed=2 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(1868,1777)
  N=5 recipes_nonsynth_mf5_000032 seed=2 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1921,2148)
  N=5 recipes_nonsynth_mf5_000032 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(12816,2553)
  N=5 recipes_nonsynth_mf5_000032 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(11659,3752)
  N=5 recipes_nonsynth_mf5_000032 seed=2 arm=intro_specter: per_fault={'time_limit': False, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3323,1809)
  N=5 recipes_nonsynth_mf5_000033 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(955,965)
  N=5 recipes_nonsynth_mf5_000033 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3013,2198)
  N=5 recipes_nonsynth_mf5_000033 seed=0 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1910,1741)
  N=5 recipes_nonsynth_mf5_000033 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1963,2357)
  N=5 recipes_nonsynth_mf5_000033 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(14627,2937)
  N=5 recipes_nonsynth_mf5_000033 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(10682,3357)
  N=5 recipes_nonsynth_mf5_000033 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3167,1807)
  N=5 recipes_nonsynth_mf5_000033 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(955,965)
  N=5 recipes_nonsynth_mf5_000033 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3013,2198)
  N=5 recipes_nonsynth_mf5_000033 seed=1 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1910,1918)
  N=5 recipes_nonsynth_mf5_000033 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1963,2357)
  N=5 recipes_nonsynth_mf5_000033 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(14634,2932)
  N=5 recipes_nonsynth_mf5_000033 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(10682,3357)
  N=5 recipes_nonsynth_mf5_000033 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3167,1807)
  N=5 recipes_nonsynth_mf5_000033 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(955,831)
  N=5 recipes_nonsynth_mf5_000033 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(2921,1888)
  N=5 recipes_nonsynth_mf5_000033 seed=2 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1910,1811)
  N=5 recipes_nonsynth_mf5_000033 seed=2 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1963,2168)
  N=5 recipes_nonsynth_mf5_000033 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(14402,2837)
  N=5 recipes_nonsynth_mf5_000033 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(10146,3233)
  N=5 recipes_nonsynth_mf5_000033 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(3075,1864)
  N=5 recipes_nonsynth_mf5_000034 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(974,991)
  N=5 recipes_nonsynth_mf5_000034 seed=0 arm=self_refine: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(3118,2268)
  N=5 recipes_nonsynth_mf5_000034 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(1948,1940)
  N=5 recipes_nonsynth_mf5_000034 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(2001,1888)
  N=5 recipes_nonsynth_mf5_000034 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(14830,2927)
  N=5 recipes_nonsynth_mf5_000034 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(11011,3507)
  N=5 recipes_nonsynth_mf5_000034 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(3272,1924)
  N=5 recipes_nonsynth_mf5_000034 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(974,991)
  N=5 recipes_nonsynth_mf5_000034 seed=1 arm=self_refine: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=0/5 tokens=(3118,2268)
  N=5 recipes_nonsynth_mf5_000034 seed=1 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1948,1834)
  N=5 recipes_nonsynth_mf5_000034 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(2001,1888)
  N=5 recipes_nonsynth_mf5_000034 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(14234,2684)
  N=5 recipes_nonsynth_mf5_000034 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(11011,3507)
  N=5 recipes_nonsynth_mf5_000034 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(3272,1924)
  N=5 recipes_nonsynth_mf5_000034 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(974,970)
  N=5 recipes_nonsynth_mf5_000034 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(3055,2340)
  N=5 recipes_nonsynth_mf5_000034 seed=2 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1948,1714)
  N=5 recipes_nonsynth_mf5_000034 seed=2 arm=react: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(2001,2803)
  N=5 recipes_nonsynth_mf5_000034 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(14527,2712)
  N=5 recipes_nonsynth_mf5_000034 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(10757,3350)
  N=5 recipes_nonsynth_mf5_000034 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=3/5 tokens=(3209,2069)
  N=5 recipes_nonsynth_mf5_000035 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(915,753)
  N=5 recipes_nonsynth_mf5_000035 seed=0 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2749,1689)
  N=5 recipes_nonsynth_mf5_000035 seed=0 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(1830,1345)
  N=5 recipes_nonsynth_mf5_000035 seed=0 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1883,2007)
  N=5 recipes_nonsynth_mf5_000035 seed=0 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(10748,2039)
  N=5 recipes_nonsynth_mf5_000035 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(9380,2708)
  N=5 recipes_nonsynth_mf5_000035 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2903,1754)
  N=5 recipes_nonsynth_mf5_000035 seed=1 arm=direct: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(915,753)
  N=5 recipes_nonsynth_mf5_000035 seed=1 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=4/5 tokens=(2749,1689)
  N=5 recipes_nonsynth_mf5_000035 seed=1 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1830,1347)
  N=5 recipes_nonsynth_mf5_000035 seed=1 arm=react: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1883,2007)
  N=5 recipes_nonsynth_mf5_000035 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(10927,2244)
  N=5 recipes_nonsynth_mf5_000035 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(9380,2708)
  N=5 recipes_nonsynth_mf5_000035 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2903,1754)
  N=5 recipes_nonsynth_mf5_000035 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(915,861)
  N=5 recipes_nonsynth_mf5_000035 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(2891,1726)
  N=5 recipes_nonsynth_mf5_000035 seed=2 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1830,1491)
  N=5 recipes_nonsynth_mf5_000035 seed=2 arm=react: per_fault={'time_limit': True, 'calories': False, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(1883,1903)
  N=5 recipes_nonsynth_mf5_000035 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(11515,2163)
  N=5 recipes_nonsynth_mf5_000035 seed=2 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(9843,2769)
  N=5 recipes_nonsynth_mf5_000035 seed=2 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(3045,1578)
  N=5 recipes_nonsynth_mf5_000036 seed=0 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': True, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=True n_resolved=5/5 tokens=(921,862)
  N=5 recipes_nonsynth_mf5_000036 seed=0 arm=self_refine: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(2891,2023)
  N=5 recipes_nonsynth_mf5_000036 seed=0 arm=full_regen: per_fault={'time_limit': False, 'calories': False, 'servings': False, 'excl_ingredient_1': True, 'excl_ingredient_2': True} all_resolved=False n_resolved=2/5 tokens=(1842,1650)
