Building 60 4-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=40000, model=mistral-nemo-12b provider=openrouter model_id=mistralai/mistral-nemo)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'reflexion', 'full_regen', 'react', 'selfcheckgpt', 'intro_specter']
  model=mistral-nemo-12b N=4 arm=direct real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2705,368)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03429_cc5ded98 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5616,785)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03429_cc5ded98 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5616,785)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03429_cc5ded98 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5690,1101)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03568_c4f10528 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': False} all_resolved=False n_resolved=2/4 tokens=(5747,1132)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03568_c4f10528 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': False} all_resolved=False n_resolved=2/4 tokens=(5747,1132)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03568_c4f10528 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5608,601)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03671_71017276 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5516,756)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03671_71017276 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5516,756)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03671_71017276 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5578,737)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03718_gpt4_76048e76 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6212,1120)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03718_gpt4_76048e76 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6212,1120)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03718_gpt4_76048e76 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6330,1691)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03815_gpt4_e05b82a6 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5758,1032)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03815_gpt4_e05b82a6 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5758,1032)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03815_gpt4_e05b82a6 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5766,902)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03948_1a1907b4 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(7192,1652)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03948_1a1907b4 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(7192,1652)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_03948_1a1907b4 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(7079,1469)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_04636_ba358f49_abs seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5852,418)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_04636_ba358f49_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5852,418)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_04636_ba358f49_abs seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(6008,804)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_04804_a89d7624 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6626,1035)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_04804_a89d7624 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6626,1035)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_04804_a89d7624 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6625,1060)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_04855_eeda8a6d_abs seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5679,438)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_04855_eeda8a6d_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5679,438)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_04855_eeda8a6d_abs seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': False} all_resolved=False n_resolved=2/4 tokens=(5599,362)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05009_gpt4_a2d1d1f6 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6178,955)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05009_gpt4_a2d1d1f6 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6178,955)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05009_gpt4_a2d1d1f6 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6094,836)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05020_41275add seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4627,833)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05020_41275add seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4627,833)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05020_41275add seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4809,1094)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05138_603deb26 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6160,1016)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05138_603deb26 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6160,1016)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05138_603deb26 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6181,1091)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05283_8b9d4367 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5369,803)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05283_8b9d4367 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5369,803)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05283_8b9d4367 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5386,783)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05580_gpt4_7bc6cf22 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5704,805)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05580_gpt4_7bc6cf22 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5704,805)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05580_gpt4_7bc6cf22 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5804,1061)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05617_830ce83f seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5549,964)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05617_830ce83f seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5549,964)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05617_830ce83f seed=2: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5610,1089)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05649_15745da0_abs seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5384,758)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05649_15745da0_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5384,758)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05649_15745da0_abs seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5676,1328)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05705_d905b33f seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5286,480)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05705_d905b33f seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5286,480)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05705_d905b33f seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5560,1208)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05757_gpt4_213fd887 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6023,1177)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05757_gpt4_213fd887 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6023,1177)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05757_gpt4_213fd887 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5851,875)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05821_0977f2af seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6044,973)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05821_0977f2af seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6044,973)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05821_0977f2af seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6070,1699)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05844_8550ddae seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5783,796)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05844_8550ddae seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5783,796)
  model=mistral-nemo-12b N=4 arm=self_refine real_lme_05844_8550ddae seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5724,771)
--- [mistral-nemo-12b][self_refine] N=4: rows written=180 errors=0 tokens_in=1046113 tokens_out=161052 ---
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2705,368)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2705,368)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(9009,978)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00049_0862e8bf_abs seed=0: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(9175,885)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00049_0862e8bf_abs seed=1: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(9175,885)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00049_0862e8bf_abs seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16030,1383)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00168_gpt4_68e94287 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(17444,1481)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00168_gpt4_68e94287 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(17444,1481)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00168_gpt4_68e94287 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(18887,2632)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00220_gpt4_2312f94c seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(14637,647)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00220_gpt4_2312f94c seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(14637,647)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00220_gpt4_2312f94c seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(16552,1743)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00263_2698e78f seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(8110,387)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00263_2698e78f seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(8110,387)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00263_2698e78f seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(8110,377)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00322_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(17042,1161)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00322_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(17042,1161)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00322_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(19410,2550)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00423_0e5e2d1a seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2289,214)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00423_0e5e2d1a seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2289,214)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00423_0e5e2d1a seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2289,222)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00446_0ddfec37_abs seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(15359,1224)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00446_0ddfec37_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(15359,1224)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00446_0ddfec37_abs seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2712,165)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00448_c7dc5443 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2755,278)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00448_c7dc5443 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2755,278)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00448_c7dc5443 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2755,675)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00491_gpt4_59149c78 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14716,952)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00491_gpt4_59149c78 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14716,952)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00491_gpt4_59149c78 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(9178,945)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00576_gpt4_85da3956 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(15453,1871)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00576_gpt4_85da3956 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(15453,1871)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00576_gpt4_85da3956 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(14723,1057)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00617_92a0aa75 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15007,1386)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00617_92a0aa75 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15007,1386)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00617_92a0aa75 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14920,1349)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00634_ad7109d1 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2635,329)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00634_ad7109d1 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2635,329)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00634_ad7109d1 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2635,237)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00780_eeda8a6d seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2721,281)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00780_eeda8a6d seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2721,281)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00780_eeda8a6d seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2721,399)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00888_gpt4_2d58bcd6 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2671,252)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00888_gpt4_2d58bcd6 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2671,252)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_00888_gpt4_2d58bcd6 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2671,192)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01107_08e075c7 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14235,715)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01107_08e075c7 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14235,715)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01107_08e075c7 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14874,1084)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01294_4fd1909e seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2675,97)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01294_4fd1909e seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2675,97)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01294_4fd1909e seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2675,146)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01456_f685340e seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2794,305)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01456_f685340e seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2794,305)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01456_f685340e seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2794,293)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01592_078150f1 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2666,323)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01592_078150f1 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2666,323)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01592_078150f1 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16817,2168)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01602_a2f3aa27 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2576,273)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01602_a2f3aa27 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2576,273)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01602_a2f3aa27 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2576,378)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01669_gpt4_468eb063 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14793,1040)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01669_gpt4_468eb063 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14793,1040)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01669_gpt4_468eb063 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2631,327)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01720_gpt4_4929293b seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(17002,2151)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01720_gpt4_4929293b seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(17002,2151)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01720_gpt4_4929293b seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(15610,1382)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01958_gpt4_fa19884d seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2689,226)
  model=mistral-nemo-12b N=4 arm=reflexion real_lme_01958_gpt4_fa19884d seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2689,226)
