Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=llama-3.3-70b provider=together model_id=meta-llama/Llama-3.3-70B-Instruct-Turbo)...
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00040_gpt4_0b2f1d21 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4952,1528)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00040_gpt4_0b2f1d21 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(5075,1858)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00040_gpt4_0b2f1d21 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4753,882)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00042_gpt4_5501fe77 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4800,724)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00042_gpt4_5501fe77 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4911,877)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00042_gpt4_5501fe77 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4911,880)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00043_c2ac3c61 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4781,756)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00043_c2ac3c61 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4791,746)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00043_c2ac3c61 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5164,1453)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00044_gpt4_ec93e27f seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4812,1165)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00044_gpt4_ec93e27f seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5201,1432)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00044_gpt4_ec93e27f seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4889,1023)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00045_06db6396 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4793,1124)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00045_06db6396 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4935,1313)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00045_06db6396 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4909,1424)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00047_f685340e seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4986,905)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00047_f685340e seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5069,1006)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00047_f685340e seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4996,1001)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00048_dccbc061 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4257,697)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00048_dccbc061 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4263,707)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00048_dccbc061 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4244,672)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00049_0862e8bf_abs seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(5483,1239)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00049_0862e8bf_abs seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5290,879)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00049_0862e8bf_abs seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5280,833)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00050_0862e8bf seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4789,799)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00050_0862e8bf seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4966,1067)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00050_0862e8bf seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4766,764)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00051_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5224,1148)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00051_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5188,1394)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00051_2ebe6c90 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4827,1118)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00052_1faac195 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(4688,1123)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00052_1faac195 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(4728,1161)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00052_1faac195 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4694,873)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00053_21d02d0d seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4886,773)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00053_21d02d0d seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4891,783)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00053_21d02d0d seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4970,814)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00054_603deb26 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5081,963)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00054_603deb26 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5111,813)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00054_603deb26 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5086,820)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00055_7e974930 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4671,659)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00055_7e974930 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4668,576)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00055_7e974930 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4764,885)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00057_dd2973ad seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4952,932)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00057_dd2973ad seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4923,783)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00057_dd2973ad seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(5240,1303)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00058_b320f3f8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4459,851)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00058_b320f3f8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4478,748)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00058_b320f3f8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4464,581)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5017,1461)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5160,1778)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4760,791)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(5252,1028)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5256,1046)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(5251,1041)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4620,1237)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4598,1040)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4345,698)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00067_41698283 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4905,888)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00067_41698283 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4844,635)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00067_41698283 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4841,778)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00068_dad224aa seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4874,847)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00068_dad224aa seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4878,821)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00068_dad224aa seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4911,815)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5436,1033)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5129,853)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5085,761)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00070_bc149d6b seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4867,587)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00070_bc149d6b seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4860,573)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00070_bc149d6b seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4920,926)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00071_51b23612 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4578,785)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00071_51b23612 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4499,672)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00071_51b23612 seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4514,778)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(4818,909)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(5048,994)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(4791,893)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00073_89941a94 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(4799,789)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00073_89941a94 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(4885,1076)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00073_89941a94 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(4821,937)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00074_681a1674 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(4767,1272)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00074_681a1674 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4551,910)
  model=llama-3.3-70b N=2 arm=self_refine real_lme_00074_681a1674 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4769,895)
--- [llama-3.3-70b][self_refine] N=2: rows written=180 errors=0 tokens_in=875392 tokens_out=169330 ---
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(13102,429)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2362,638)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2362,399)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00001_603deb26 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2446,398)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00001_603deb26 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(13631,506)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00001_603deb26 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2446,411)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00002_51c32626 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(12011,470)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00002_51c32626 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(11996,457)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00002_51c32626 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(11967,448)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2131,255)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2131,249)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2131,224)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2101,235)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2101,335)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2101,243)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2235,432)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2235,414)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(13903,835)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00007_5025383b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2014,268)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00007_5025383b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2014,269)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00007_5025383b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2014,257)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2143,292)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2143,370)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2143,343)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2251,443)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2251,401)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2251,349)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(14588,547)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(14613,562)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(14541,546)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2349,244)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2349,313)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2349,312)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(14088,549)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(14136,569)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(14136,569)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2140,262)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2140,262)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2140,300)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2272,287)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2272,308)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2272,266)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2373,328)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2373,319)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2373,352)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(7738,367)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(12808,414)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(12977,477)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(13150,425)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(13200,443)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(13960,613)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2046,412)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2046,326)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2046,412)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00023_e48988bc seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(9809,404)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00023_e48988bc seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(9796,379)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00023_e48988bc seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(9808,394)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2124,638)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2124,411)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2124,758)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00027_21d02d0d seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(12791,467)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00027_21d02d0d seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(13401,594)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00027_21d02d0d seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(12664,433)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00028_1f2b8d4f seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2202,290)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00028_1f2b8d4f seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(12778,526)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00028_1f2b8d4f seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(12326,430)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00029_a11281a2 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(12669,525)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00029_a11281a2 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(12779,525)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00029_a11281a2 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2218,432)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00030_1de5cff2 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1913,380)
  model=llama-3.3-70b N=2 arm=reflexion real_lme_00030_1de5cff2 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1913,375)
