Building 60 4-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=40000, model=qwen-2.5-7b provider=openrouter model_id=qwen/qwen-2.5-7b-instruct)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'reflexion', 'full_regen', 'react', 'selfcheckgpt', 'intro_specter']
  model=qwen-2.5-7b N=4 arm=direct real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2657,150)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03337_gpt4_1916e0ea seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6025,723)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03337_gpt4_1916e0ea seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6025,723)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03337_gpt4_1916e0ea seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6045,791)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03429_cc5ded98 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5232,347)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03429_cc5ded98 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5232,347)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03429_cc5ded98 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5160,237)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03568_c4f10528 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5521,502)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03568_c4f10528 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5521,502)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03568_c4f10528 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5454,471)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03671_71017276 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5278,522)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03671_71017276 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5278,522)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03671_71017276 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5393,733)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03718_gpt4_76048e76 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5824,745)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03718_gpt4_76048e76 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5824,745)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03718_gpt4_76048e76 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5815,773)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03815_gpt4_e05b82a6 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5614,764)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03815_gpt4_e05b82a6 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5614,764)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03815_gpt4_e05b82a6 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5578,703)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03948_1a1907b4 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6695,770)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03948_1a1907b4 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6695,770)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_03948_1a1907b4 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(6650,689)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_04636_ba358f49_abs seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5932,799)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_04636_ba358f49_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5932,799)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_04636_ba358f49_abs seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6075,852)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_04804_a89d7624 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6291,575)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_04804_a89d7624 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6291,575)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_04804_a89d7624 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(6407,812)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_04855_eeda8a6d_abs seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5871,864)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_04855_eeda8a6d_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5871,864)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_04855_eeda8a6d_abs seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5875,924)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05009_gpt4_a2d1d1f6 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5756,645)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05009_gpt4_a2d1d1f6 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5756,645)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05009_gpt4_a2d1d1f6 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5733,604)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05020_41275add seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4295,307)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05020_41275add seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4295,307)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05020_41275add seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4295,293)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05138_603deb26 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5882,773)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05138_603deb26 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5882,773)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05138_603deb26 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5728,488)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05283_8b9d4367 seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5295,776)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05283_8b9d4367 seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5295,776)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05283_8b9d4367 seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5295,753)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05580_gpt4_7bc6cf22 seed=0: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5308,280)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05580_gpt4_7bc6cf22 seed=1: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5308,280)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05580_gpt4_7bc6cf22 seed=2: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5307,296)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05617_830ce83f seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5201,479)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05617_830ce83f seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5201,479)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05617_830ce83f seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5197,422)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05649_15745da0_abs seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5279,401)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05649_15745da0_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5279,401)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05649_15745da0_abs seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5282,407)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05705_d905b33f seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5222,523)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05705_d905b33f seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5222,523)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05705_d905b33f seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5391,985)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05757_gpt4_213fd887 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5658,630)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05757_gpt4_213fd887 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5658,630)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05757_gpt4_213fd887 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(5620,573)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05821_0977f2af seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5666,716)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05821_0977f2af seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5666,716)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05821_0977f2af seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5668,722)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05844_8550ddae seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5386,364)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05844_8550ddae seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5386,364)
  model=qwen-2.5-7b N=4 arm=self_refine real_lme_05844_8550ddae seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5386,432)
--- [qwen-2.5-7b][self_refine] N=4: rows written=180 errors=0 tokens_in=998826 tokens_out=101618 ---
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14401,680)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14401,680)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15295,1221)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00049_0862e8bf_abs seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14551,626)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00049_0862e8bf_abs seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14551,626)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00049_0862e8bf_abs seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14650,683)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00168_gpt4_68e94287 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(16573,1414)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00168_gpt4_68e94287 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(16573,1414)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00168_gpt4_68e94287 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(16394,1327)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00220_gpt4_2312f94c seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(15043,1035)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00220_gpt4_2312f94c seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(15043,1035)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00220_gpt4_2312f94c seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(14972,1011)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00263_2698e78f seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(14747,1092)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00263_2698e78f seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(14747,1092)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00263_2698e78f seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(14621,1060)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00322_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16505,873)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00322_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16505,873)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00322_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16580,926)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00423_0e5e2d1a seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2251,212)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00423_0e5e2d1a seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2251,212)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00423_0e5e2d1a seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2251,215)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00446_0ddfec37_abs seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(14694,1062)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00446_0ddfec37_abs seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(14694,1062)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00446_0ddfec37_abs seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(14742,979)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00448_c7dc5443 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2690,210)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00448_c7dc5443 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2690,210)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00448_c7dc5443 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2690,174)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00491_gpt4_59149c78 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15209,1079)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00491_gpt4_59149c78 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15209,1079)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00491_gpt4_59149c78 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14736,792)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00576_gpt4_85da3956 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(14108,895)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00576_gpt4_85da3956 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(14108,895)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00576_gpt4_85da3956 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(14499,1119)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00617_92a0aa75 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12913,376)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00617_92a0aa75 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12913,376)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00617_92a0aa75 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13294,564)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00634_ad7109d1 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2577,121)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00634_ad7109d1 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2577,121)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00634_ad7109d1 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2577,126)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00780_eeda8a6d seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2673,409)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00780_eeda8a6d seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2673,409)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00780_eeda8a6d seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2673,247)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00888_gpt4_2d58bcd6 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13898,580)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00888_gpt4_2d58bcd6 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13898,580)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_00888_gpt4_2d58bcd6 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13984,635)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01107_08e075c7 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14329,815)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01107_08e075c7 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14329,815)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01107_08e075c7 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14331,820)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01294_4fd1909e seed=0: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2621,142)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01294_4fd1909e seed=1: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2621,142)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01294_4fd1909e seed=2: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2621,164)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01456_f685340e seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15157,926)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01456_f685340e seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15157,926)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01456_f685340e seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(15220,967)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01592_078150f1 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14389,860)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01592_078150f1 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14389,860)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01592_078150f1 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14410,874)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01602_a2f3aa27 seed=0: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2530,110)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01602_a2f3aa27 seed=1: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2530,110)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01602_a2f3aa27 seed=2: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2530,235)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01669_gpt4_468eb063 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13569,491)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01669_gpt4_468eb063 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13569,491)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01669_gpt4_468eb063 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(14455,999)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01720_gpt4_4929293b seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13903,608)
  model=qwen-2.5-7b N=4 arm=reflexion real_lme_01720_gpt4_4929293b seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13903,608)
