Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=mistral-nemo-12b provider=openrouter model_id=mistralai/mistral-nemo)...
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00037_faba32e5 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4774,553)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00038_b86304ba seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4757,1228)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00038_b86304ba seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4757,1228)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00038_b86304ba seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4559,860)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00039_gpt4_d6585ce8 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(5901,1752)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00039_gpt4_d6585ce8 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(5901,1752)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00039_gpt4_d6585ce8 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(5686,1015)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00040_gpt4_0b2f1d21 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4903,1145)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00040_gpt4_0b2f1d21 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4903,1145)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00040_gpt4_0b2f1d21 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4924,959)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00042_gpt4_5501fe77 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(5015,881)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00042_gpt4_5501fe77 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(5015,881)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00042_gpt4_5501fe77 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(5049,994)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00043_c2ac3c61 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4929,832)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00043_c2ac3c61 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4929,832)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00043_c2ac3c61 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4662,554)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00044_gpt4_ec93e27f seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4621,521)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00044_gpt4_ec93e27f seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4621,521)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00044_gpt4_ec93e27f seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4977,1243)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00045_06db6396 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4766,785)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00045_06db6396 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4766,785)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00045_06db6396 seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4756,820)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00047_f685340e seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5054,803)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00047_f685340e seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5054,803)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00047_f685340e seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5147,847)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00048_dccbc061 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(4596,1262)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00048_dccbc061 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(4596,1262)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00048_dccbc061 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(4563,947)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00049_0862e8bf_abs seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5242,711)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00049_0862e8bf_abs seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5242,711)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00049_0862e8bf_abs seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5249,688)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00050_0862e8bf seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4790,723)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00050_0862e8bf seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4790,723)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00050_0862e8bf seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4713,596)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00051_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(4966,1400)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00051_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(4966,1400)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00051_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(5013,1165)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00052_1faac195 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4588,413)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00052_1faac195 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4588,413)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00052_1faac195 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4630,588)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00053_21d02d0d seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5115,992)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00053_21d02d0d seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5115,992)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00053_21d02d0d seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5043,805)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00054_603deb26 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5398,1107)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00054_603deb26 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5398,1107)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00054_603deb26 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5411,1435)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00055_7e974930 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5019,811)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00055_7e974930 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5019,811)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00055_7e974930 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5036,861)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00057_dd2973ad seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(5128,788)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00057_dd2973ad seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(5128,788)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00057_dd2973ad seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(5131,839)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00058_b320f3f8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4454,789)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00058_b320f3f8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4454,789)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00058_b320f3f8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4449,826)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5235,1361)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5235,1361)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5171,1630)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(5291,690)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(5291,690)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(5283,660)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4560,839)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4560,839)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4672,1182)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00067_41698283 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(5093,1005)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00067_41698283 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(5093,1005)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00067_41698283 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(5440,1495)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00068_dad224aa seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4926,696)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00068_dad224aa seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4926,696)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00068_dad224aa seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(5148,1468)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=0: per_fault={'ctx': True, 'bullets': False} all_resolved=False n_resolved=1/2 tokens=(5505,1562)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=1: per_fault={'ctx': True, 'bullets': False} all_resolved=False n_resolved=1/2 tokens=(5505,1562)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5661,1328)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00070_bc149d6b seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(5128,1156)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00070_bc149d6b seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(5128,1156)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00070_bc149d6b seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4906,522)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00071_51b23612 seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4649,1043)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00071_51b23612 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4649,1043)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00071_51b23612 seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4761,1025)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(4941,1055)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(4941,1055)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4948,1017)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00073_89941a94 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4795,473)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00073_89941a94 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4795,473)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00073_89941a94 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4802,484)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00074_681a1674 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(4658,678)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00074_681a1674 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(4658,678)
  model=mistral-nemo-12b N=2 arm=self_refine real_lme_00074_681a1674 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4722,633)
--- [mistral-nemo-12b][self_refine] N=2: rows written=180 errors=0 tokens_in=894264 tokens_out=171310 ---
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(8423,965)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(8423,965)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(14818,1729)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00001_603deb26 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2519,291)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00001_603deb26 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2519,291)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00001_603deb26 seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(8753,1353)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00002_51c32626 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,353)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00002_51c32626 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,353)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00002_51c32626 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,344)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(13533,1694)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(13533,1694)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2196,280)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2153,416)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2153,416)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2153,362)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(13947,1515)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(13947,1515)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(14029,1584)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00007_5025383b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2071,255)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00007_5025383b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2071,255)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00007_5025383b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2071,272)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(13108,1336)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(13108,1336)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(7449,788)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2361,167)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2361,167)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2361,393)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(16892,2150)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(16892,2150)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(17524,2299)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2426,242)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2426,242)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2426,357)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(15158,1264)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(15158,1264)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(15170,1263)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(16939,3142)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(16939,3142)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(13658,1922)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(7886,878)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(7886,878)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2329,261)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(14041,1459)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(14041,1459)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(8162,778)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2363,301)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2363,301)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2363,343)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2444,386)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2444,386)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2444,423)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2099,285)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2099,285)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2099,344)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00023_e48988bc seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1779,209)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00023_e48988bc seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1779,209)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00023_e48988bc seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1779,307)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(7879,1423)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(7879,1423)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(13470,1733)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00027_21d02d0d seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2342,281)
  model=mistral-nemo-12b N=2 arm=reflexion real_lme_00027_21d02d0d seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2342,281)
