Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=llama-3.1-8b provider=openrouter model_id=meta-llama/llama-3.1-8b-instruct)...
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00050_0862e8bf seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4680,683)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00051_2ebe6c90 seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(5021,1454)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00051_2ebe6c90 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(5021,1454)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00051_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4458,660)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00052_1faac195 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4607,657)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00052_1faac195 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4607,657)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00052_1faac195 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4417,239)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00053_21d02d0d seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4879,786)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00053_21d02d0d seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4879,786)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00053_21d02d0d seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4879,760)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00054_603deb26 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5062,931)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00054_603deb26 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5062,931)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00054_603deb26 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5029,830)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00055_7e974930 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(6000,3031)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00055_7e974930 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(6000,3031)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00055_7e974930 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(5704,2633)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00057_dd2973ad seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4825,840)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00057_dd2973ad seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4825,840)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00057_dd2973ad seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4623,465)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00058_b320f3f8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4201,422)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00058_b320f3f8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4201,422)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00058_b320f3f8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4427,748)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4713,867)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4713,867)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4713,867)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4978,455)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4978,455)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4943,369)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4324,627)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4324,627)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(4308,672)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00067_41698283 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4766,878)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00067_41698283 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4766,878)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00067_41698283 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4518,364)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00068_dad224aa seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4561,411)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00068_dad224aa seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4561,411)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00068_dad224aa seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4799,756)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5022,864)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5022,864)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4944,705)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00070_bc149d6b seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(4536,348)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00070_bc149d6b seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(4536,348)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00070_bc149d6b seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4633,454)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00071_51b23612 seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4561,965)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00071_51b23612 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4561,965)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00071_51b23612 seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4542,850)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4728,898)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4728,898)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4728,860)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00073_89941a94 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(4543,389)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00073_89941a94 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(4543,389)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00073_89941a94 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4946,1083)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00074_681a1674 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4443,627)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00074_681a1674 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4443,627)
  model=llama-3.1-8b N=2 arm=self_refine real_lme_00074_681a1674 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4595,988)
--- [llama-3.1-8b][self_refine] N=2: rows written=180 errors=0 tokens_in=854255 tokens_out=151362 ---
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2342,368)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2342,368)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(7276,313)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00001_603deb26 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2462,555)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00001_603deb26 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2462,555)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00001_603deb26 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2446,454)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00002_51c32626 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2119,96)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00002_51c32626 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2119,96)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00002_51c32626 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2099,742)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2111,366)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2111,366)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2131,108)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(12322,1200)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(12322,1200)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2101,523)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(14670,2091)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(14670,2091)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(7508,898)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00007_5025383b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(1994,240)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00007_5025383b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(1994,240)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00007_5025383b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(1994,240)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2143,118)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2143,118)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2123,149)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2251,267)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2251,267)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2231,296)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(14697,1008)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(14697,1008)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(14603,1015)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2329,249)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2329,249)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2349,345)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(16712,2477)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(16712,2477)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(14964,1457)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(14814,2375)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(14814,2375)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(11127,2263)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2252,246)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2252,246)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2252,246)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2353,89)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2353,89)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2373,83)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(14817,2427)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(14817,2427)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2290,291)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2335,267)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2335,267)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2370,249)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2026,83)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2026,83)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2062,159)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00023_e48988bc seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1747,105)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00023_e48988bc seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1747,105)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00023_e48988bc seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1747,84)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2140,333)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2140,333)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2124,113)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00027_21d02d0d seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2254,323)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00027_21d02d0d seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2254,323)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00027_21d02d0d seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2254,805)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00028_1f2b8d4f seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2182,210)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00028_1f2b8d4f seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2182,210)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00028_1f2b8d4f seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2182,210)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00029_a11281a2 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2234,98)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00029_a11281a2 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2234,98)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00029_a11281a2 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2218,88)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00030_1de5cff2 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1893,288)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00030_1de5cff2 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1893,288)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00030_1de5cff2 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1929,265)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00031_8ebdbe50 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1911,384)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00031_8ebdbe50 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1911,384)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00031_8ebdbe50 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1911,354)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00032_22d2cb42 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2136,279)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00032_22d2cb42 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2136,279)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00032_22d2cb42 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2136,252)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00033_gpt4_385a5000 seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(8207,1342)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00033_gpt4_385a5000 seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(8207,1342)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00033_gpt4_385a5000 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(13417,1620)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00034_95bcc1c8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2149,75)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00034_95bcc1c8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2149,75)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00034_95bcc1c8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2129,156)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00035_gpt4_2312f94c seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(7191,1015)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00035_gpt4_2312f94c seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(7191,1015)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00035_gpt4_2312f94c seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(6977,765)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00036_gpt4_468eb063 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(7108,796)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00036_gpt4_468eb063 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(7108,796)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00036_gpt4_468eb063 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2143,387)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00037_faba32e5 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,245)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00037_faba32e5 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2158,245)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00037_faba32e5 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2138,367)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00038_b86304ba seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2058,320)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00038_b86304ba seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2058,320)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00038_b86304ba seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2058,206)
  model=llama-3.1-8b N=2 arm=reflexion real_lme_00039_gpt4_d6585ce8 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(15648,1887)
