Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=qwen-2.5-7b provider=openrouter model_id=qwen/qwen-2.5-7b-instruct)...
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4682,632)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4682,632)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00059_2ebe6c90 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4757,690)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5263,781)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(5263,781)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00064_gpt4_e061b84f seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(5250,824)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4439,660)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4439,660)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00066_8e91e7d9 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(4448,592)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00067_41698283 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(5077,855)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00067_41698283 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(5077,855)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00067_41698283 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(5061,784)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00068_dad224aa seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4715,394)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00068_dad224aa seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4715,394)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00068_dad224aa seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4872,683)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5143,596)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5143,596)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00069_gpt4_31ff4165 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(5131,491)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00070_bc149d6b seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4806,404)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00070_bc149d6b seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4806,404)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00070_bc149d6b seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(4794,358)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00071_51b23612 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4506,541)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00071_51b23612 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(4506,541)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00071_51b23612 seed=2: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(4576,822)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4733,512)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4733,512)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00072_08f4fc43 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4739,568)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00073_89941a94 seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4939,830)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00073_89941a94 seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4939,830)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00073_89941a94 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(4948,861)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00074_681a1674 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4588,760)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00074_681a1674 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4588,760)
  model=qwen-2.5-7b N=2 arm=self_refine real_lme_00074_681a1674 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(4670,712)
--- [qwen-2.5-7b][self_refine] N=2: rows written=180 errors=0 tokens_in=854325 tokens_out=110363 ---
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2369,303)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2369,303)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00000_gpt4_2ba83207 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2369,264)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00001_603deb26 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2458,319)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00001_603deb26 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2458,319)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00001_603deb26 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2458,281)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00002_51c32626 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(6984,567)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00002_51c32626 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(6984,567)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00002_51c32626 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(6925,529)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2151,171)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2151,171)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00004_gpt4_2655b836 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2151,152)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2118,169)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2118,169)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00005_2698e78f_abs seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2118,166)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(12640,907)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(12640,907)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00006_gpt4_1d80365e seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(12621,898)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00007_5025383b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2023,178)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00007_5025383b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2023,178)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00007_5025383b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2023,191)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2149,253)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2149,253)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00008_gpt4_cd90e484 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2149,189)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2270,154)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2270,154)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00009_c19f7a0b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2270,172)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(16558,1901)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(16558,1901)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00010_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(16422,1845)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2366,326)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2366,326)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00011_gpt4_65aabe59 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2366,274)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(14879,1232)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(14879,1232)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00012_d6233ab6 seed=2: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(15007,1256)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(7480,975)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(7480,975)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00014_gpt4_c27434e8_abs seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(13468,1535)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2277,266)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2277,266)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00016_f8c5f88b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2277,297)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2374,258)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2374,258)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2374,259)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2320,136)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2320,136)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00019_gpt4_e414231f seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2320,182)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(12868,697)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(12868,697)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00021_e56a43b9 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(12939,736)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2055,239)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2055,239)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00022_6cb6f249 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2055,238)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00023_e48988bc seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1752,289)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00023_e48988bc seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1752,289)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00023_e48988bc seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(1752,299)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(6773,406)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(6773,406)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00025_gpt4_4929293b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(6855,486)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00027_21d02d0d seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2296,88)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00027_21d02d0d seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2296,88)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00027_21d02d0d seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2296,157)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00028_1f2b8d4f seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2226,176)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00028_1f2b8d4f seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2226,176)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00028_1f2b8d4f seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(12637,991)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00029_a11281a2 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2237,262)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00029_a11281a2 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2237,262)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00029_a11281a2 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2237,283)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00030_1de5cff2 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1912,233)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00030_1de5cff2 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1912,233)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00030_1de5cff2 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1912,232)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00031_8ebdbe50 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1949,191)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00031_8ebdbe50 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1949,191)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00031_8ebdbe50 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(1949,191)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00032_22d2cb42 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(11836,794)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00032_22d2cb42 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(11836,794)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00032_22d2cb42 seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2124,196)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00033_gpt4_385a5000 seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(12820,910)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00033_gpt4_385a5000 seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(12820,910)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00033_gpt4_385a5000 seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(12481,720)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00034_95bcc1c8 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2158,176)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00034_95bcc1c8 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2158,176)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00034_95bcc1c8 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2158,178)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00035_gpt4_2312f94c seed=0: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2151,188)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00035_gpt4_2312f94c seed=1: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2151,188)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00035_gpt4_2312f94c seed=2: per_fault={'ctx': True, 'english': True} all_resolved=True n_resolved=2/2 tokens=(2151,315)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00036_gpt4_468eb063 seed=0: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(11766,645)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00036_gpt4_468eb063 seed=1: per_fault={'ctx': False, 'preamble': True} all_resolved=False n_resolved=1/2 tokens=(11766,645)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00036_gpt4_468eb063 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(12061,826)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00037_faba32e5 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2167,262)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00037_faba32e5 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2167,262)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00037_faba32e5 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2167,207)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00038_b86304ba seed=0: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(12087,1008)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00038_b86304ba seed=1: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(12087,1008)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00038_b86304ba seed=2: per_fault={'ctx': False, 'english': True} all_resolved=False n_resolved=1/2 tokens=(12116,1029)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00039_gpt4_d6585ce8 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(16040,1766)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00039_gpt4_d6585ce8 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(16040,1766)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00039_gpt4_d6585ce8 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(16297,1892)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00040_gpt4_0b2f1d21 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2143,413)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00040_gpt4_0b2f1d21 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2143,413)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00040_gpt4_0b2f1d21 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2143,291)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00042_gpt4_5501fe77 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2241,195)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00042_gpt4_5501fe77 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2241,195)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00042_gpt4_5501fe77 seed=2: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2241,158)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00043_c2ac3c61 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2225,130)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00043_c2ac3c61 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2225,130)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00043_c2ac3c61 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2225,119)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00044_gpt4_ec93e27f seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2162,269)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00044_gpt4_ec93e27f seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2162,269)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00044_gpt4_ec93e27f seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2162,275)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00045_06db6396 seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2167,283)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00045_06db6396 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2167,283)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00045_06db6396 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2167,227)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00047_f685340e seed=0: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(12241,447)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00047_f685340e seed=1: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(12241,447)
  model=qwen-2.5-7b N=2 arm=reflexion real_lme_00047_f685340e seed=2: per_fault={'ctx': False, 'bullets': True} all_resolved=False n_resolved=1/2 tokens=(13104,939)
