Building 40 5-fault (4 hop-context + 1 profile) twowiki_real bridge_comparison examples (bench_seed=42, scan_limit=2671)...
Built 40 examples. seeds=[0, 1, 2], model=mistral-nemo-12b, arms=['reflexion', 'intro_specter']
  N=5 real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'hop3': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(12013,822)
  N=5 real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4665,975)
  N=5 real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'hop3': True, 'english': True} all_resolved=False n_resolved=3/5 tokens=(12013,822)
  N=5 real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4665,975)
  N=5 real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(12410,1554)
  N=5 real_2wiki_hop_00021_bbccb00a08c211ebbd8cac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4537,565)
  N=5 real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1935,359)
  N=5 real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4485,796)
  N=5 real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1935,359)
  N=5 real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4485,796)
  N=5 real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1935,537)
  N=5 real_2wiki_hop_00022_69a7e9ca08e011ebbda1ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4726,1437)
  N=5 real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1626,388)
  N=5 real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3916,713)
  N=5 real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1626,388)
  N=5 real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3916,713)
  N=5 real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1626,386)
  N=5 real_2wiki_hop_00023_ae85fcce089411ebbd75ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'english': True} all_resolved=False n_resolved=4/5 tokens=(3913,712)
  N=5 real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1849,628)
  N=5 real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4687,1760)
  N=5 real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1849,628)
  N=5 real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4687,1760)
  N=5 real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1849,746)
  N=5 real_2wiki_hop_00024_c01a2fa8087111ebbd63ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4826,1377)
  N=5 real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1843,544)
  N=5 real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4528,1271)
  N=5 real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1843,544)
  N=5 real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4528,1271)
  N=5 real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1843,365)
  N=5 real_2wiki_hop_00027_9b2ccd4e088b11ebbd6fac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4328,897)
  N=5 real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1802,362)
  N=5 real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4245,880)
  N=5 real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1802,362)
  N=5 real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4245,880)
  N=5 real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1801,177)
  N=5 real_2wiki_hop_00028_49a5c36b086111ebbd5dac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(3995,492)
  N=5 real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1637,522)
  N=5 real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4095,1108)
  N=5 real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1637,522)
[RETRY] intro_specter task=real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=0 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
  N=5 real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(4095,1108)
  N=5 real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1638,265)
  N=5 real_2wiki_hop_00029_e7f8e98808a311ebbd7cac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(3775,612)
  N=5 real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(1650,222)
  N=5 real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3758,688)
  N=5 real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(1650,222)
  N=5 real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3758,688)
  N=5 real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(1651,405)
  N=5 real_2wiki_hop_00030_618527ff089911ebbd77ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(3985,1017)
  N=5 real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(12664,2310)
  N=5 real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4345,1247)
  N=5 real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(12664,2310)
  N=5 real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(4345,1247)
  N=5 real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=1/5 tokens=(1750,348)
  N=5 real_2wiki_hop_00031_c21fb3ab08a711ebbd7fac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=1/5 tokens=(4102,716)
  N=5 real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(1913,358)
  N=5 real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(4463,666)
  N=5 real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(1913,358)
  N=5 real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(4463,666)
  N=5 real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1913,387)
  N=5 real_2wiki_hop_00032_33b0c274087211ebbd64ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4492,630)
  N=5 real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(2123,350)
  N=5 real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(4875,568)
  N=5 real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(2123,350)
  N=5 real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(4875,568)
  N=5 real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(2123,357)
  N=5 real_2wiki_hop_00033_09762e08087311ebbd66ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(4882,680)
  N=5 real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': False, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=2/5 tokens=(1872,328)
  N=5 real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': False, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=2/5 tokens=(4342,476)
  N=5 real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': False, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=2/5 tokens=(1872,328)
  N=5 real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': False, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=2/5 tokens=(4342,476)
  N=5 real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(1872,382)
  N=5 real_2wiki_hop_00034_f1145dc6084f11ebbd56ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(4403,597)
  N=5 real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(2101,192)
  N=5 real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4659,518)
  N=5 real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(2101,192)
  N=5 real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4659,518)
  N=5 real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(2101,213)
  N=5 real_2wiki_hop_00036_26b866e6085c11ebbd5cac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(4680,539)
  N=5 real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1976,612)
  N=5 real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4926,1726)
  N=5 real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1976,612)
  N=5 real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4926,1726)
  N=5 real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1976,728)
  N=5 real_2wiki_hop_00037_0a630db408c211ebbd8bac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(5063,1189)
  N=5 real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1919,428)
  N=5 real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4541,1109)
  N=5 real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1919,428)
  N=5 real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4541,1109)
  N=5 real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1918,489)
  N=5 real_2wiki_hop_00038_c5601df108a411ebbd7dac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4623,1053)
  N=5 real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1720,440)
  N=5 real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4177,840)
  N=5 real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1720,440)
  N=5 real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4177,840)
  N=5 real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1720,405)
  N=5 real_2wiki_hop_00039_140fbeda08c611ebbd90ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4247,884)
  N=5 real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(1829,463)
  N=5 real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4400,980)
  N=5 real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(1829,463)
  N=5 real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4400,980)
  N=5 real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(1828,341)
  N=5 real_2wiki_hop_00041_6e5f2a2e085d11ebbd5cac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': True, 'concise': False} all_resolved=False n_resolved=3/5 tokens=(4255,801)
  N=5 real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(2147,237)
  N=5 real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4765,751)
  N=5 real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(2147,237)
  N=5 real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(4765,751)
  N=5 real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(2146,266)
  N=5 real_2wiki_hop_00042_eec16bb008c011ebbd8aac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=3/5 tokens=(4792,572)
