Building 60 4-fault (3 hop + 1 profile) musique_real hop examples (bench_seed=42, scan_limit=760)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_musique_hop_00001_3hop1__145290_443779_52195 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': False} all_resolved=False n_resolved=2/4 tokens=(1776,586)
  N=4 real_musique_hop_00012_3hop1__106313_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(4456,628)
  N=4 real_musique_hop_00012_3hop1__106313_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4168,588)
  N=4 real_musique_hop_00012_3hop1__106313_443779_52195 seed=2 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4221,1154)
  N=4 real_musique_hop_00012_3hop1__106313_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(12280,469)
  N=4 real_musique_hop_00012_3hop1__106313_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(2084,234)
  N=4 real_musique_hop_00012_3hop1__106313_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(4610,554)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1917,268)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(4260,707)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3834,501)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=0 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3887,828)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=0 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(10992,374)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1917,268)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4414,821)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=1 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1917,268)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(4260,707)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3834,365)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=1 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3887,828)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=1 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(10992,374)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1917,268)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4414,821)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=2 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1917,307)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(4238,796)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=2 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3834,646)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=2 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3887,831)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=2 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(10992,400)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1917,307)
  N=4 real_musique_hop_00013_3hop1__654651_55349_651302 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4392,798)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(2001,358)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(4507,1007)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=0 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(4002,698)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=0 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(4055,903)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(11726,565)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(12852,1761)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(4661,864)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(2001,358)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(4507,1007)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=1 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(4002,665)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=1 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(4055,903)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(11806,650)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(12852,1761)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(4661,864)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(2001,353)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(4502,996)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=2 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4002,765)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=2 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(4055,855)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(11708,538)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(12677,1554)
  N=4 real_musique_hop_00014_3hop1__106900_443779_52195 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(4656,846)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(1725,263)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(3808,728)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=0 arm=full_regen: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(3450,513)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=0 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(3503,820)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(9961,364)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(1725,263)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(3962,555)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(1725,263)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(3808,728)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(3450,591)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=1 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(3503,820)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(9983,390)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(1725,263)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(3962,555)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(1725,253)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(3777,596)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=2 arm=full_regen: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(3450,495)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=2 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(3503,771)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(10024,445)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(1725,253)
  N=4 real_musique_hop_00015_3hop1__93963_170667_18967 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(3931,707)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1892,444)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=0 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4442,1202)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3784,896)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=0 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(3837,1057)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=0 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(11023,609)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1892,444)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4596,1068)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=1 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1892,444)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=1 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4442,1202)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3784,801)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=1 arm=react: per_fault={'hop0': True, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=3/4 tokens=(3837,1057)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=1 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(11071,683)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(1892,444)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(4596,1068)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(1892,321)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': False} all_resolved=False n_resolved=1/4 tokens=(4320,962)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=2 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(3784,671)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=2 arm=react: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'concise': True} all_resolved=True n_resolved=4/4 tokens=(3837,1028)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=2 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(11055,520)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=2 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(1892,321)
  N=4 real_musique_hop_00016_3hop1__123190_519940_18967 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'concise': True} all_resolved=False n_resolved=2/4 tokens=(4474,1034)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=0 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(1853,379)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=0 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4202,942)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=0 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(3706,765)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=0 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(3759,1124)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=0 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(10734,477)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(1853,379)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4356,953)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=1 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(1853,379)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=1 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4202,942)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=1 arm=full_regen: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(3706,747)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=1 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(3759,1124)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=1 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(10734,476)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(1853,379)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4356,953)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=2 arm=direct: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(1853,468)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=2 arm=self_refine: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4333,1076)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=2 arm=full_regen: per_fault={'hop0': False, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(3706,786)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=2 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'preamble': True} all_resolved=False n_resolved=1/4 tokens=(3759,1342)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=2 arm=selfcheckgpt: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(10735,569)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(1853,468)
  N=4 real_musique_hop_00017_3hop1__248929_160713_77246 seed=2 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4487,1282)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=0 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(1711,554)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=0 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(4167,1385)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=0 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(3422,876)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=0 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(3475,1285)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=0 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(11596,729)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=0 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(12839,2931)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=0 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(4321,1515)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=1 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(1711,554)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=1 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(4167,1385)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=1 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(3422,978)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=1 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': True, 'english': True} all_resolved=False n_resolved=2/4 tokens=(3475,1285)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=1 arm=selfcheckgpt: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(11600,736)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=1 arm=reflexion: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(12839,2931)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=1 arm=intro_specter: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(4321,1515)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=2 arm=direct: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(1711,230)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=2 arm=self_refine: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(3723,831)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=2 arm=full_regen: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(3422,595)
  N=4 real_musique_hop_00018_3hop1__159737_160713_77246 seed=2 arm=react: per_fault={'hop0': False, 'hop1': False, 'hop2': False, 'english': True} all_resolved=False n_resolved=1/4 tokens=(3475,740)
